Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
,,,,,,,,,,
12/1/2020,112.2,112.2,111.5,112,,51,5703,,,
,,,,,,,,,,
11/30/2020,111,113.6,111,112.1,,315,35111.5,,,
,,,,,,,,,,
11/27/2020,111,111.5,109.5,111.2,,155,17168.5,,,
,,,,,,,,,,
11/26/2020,111.3,112,110.5,111.6,,254,28367.5,,,
,,,,,,,,,,
11/25/2020,111.4,111.4,110.1,110.1,,294,32435.8,,,
,,,,,,,,,,
11/24/2020,116.1,116.8,110.5,113.5,,3184,361404.4,,,
,,,,,,,,,,
11/23/2020,118,118.8,116.3,116.3,,1590,187525,,,
,,,,,,,,,,
11/20/2020,116.5,118,116.5,117.5,,295,34736,,,
,,,,,,,,,,
11/19/2020,115.6,115.6,115.6,115.6,,0,0,,,
,,,,,,,,,,
11/18/2020,115.8,115.8,115,115,,25,2875,,,
,,,,,,,,,,
11/17/2020,117.9,117.9,115.7,115.7,,381,44235.6,,,
,,,,,,,,,,
11/16/2020,118.9,119.8,118.1,118.1,,266,31637.8,,,
,,,,,,,,,,
11/13/2020,115.4,117.2,115.4,117.2,,162,18892.3,,,
,,,,,,,,,,
11/12/2020,117.1,117.5,116.4,116.4,,185,21587.5,,,
,,,,,,,,,,
11/11/2020,115,117.3,115,116.9,,353,41227,,,
,,,,,,,,,,
11/10/2020,118.4,118.4,114.6,114.6,,93,10801.6,,,
,,,,,,,,,,
11/9/2020,116.1,119.9,116.1,119.4,,494,58880.6,,,
,,,,,,,,,,
11/6/2020,115.2,115.8,114.8,115.1,,190,21831,,,
,,,,,,,,,,
11/5/2020,114.7,116.2,114.7,115.4,,382,44272.4,,,
,,,,,,,,,,
11/4/2020,109.8,113.8,109.8,113.8,,69,7804.7,,,
,,,,,,,,,,
11/3/2020,108.4,110,108.4,110,,176,19259,,,
,,,,,,,,,,
11/2/2020,111.3,111.6,108.1,108.1,,362,39844.5,,,
,,,,,,,,,,
10/30/2020,107.2,112.9,107.2,110.7,,99,11001.5,,,
,,,,,,,,,,
10/29/2020,112.1,113,106.7,109.5,,395,43369.2,,,
,,,,,,,,,,
10/28/2020,113.7,113.7,106.1,111.8,,861,94248.9,,,
,,,,,,,,,,
10/27/2020,115.6,115.8,114.9,114.9,,360,41598,,,
,,,,,,,,,,
10/26/2020,117.5,117.5,113.4,113.7,,694,80177.1,,,
,,,,,,,,,,
10/23/2020,120.4,121.1,115,118.5,,813,96193,,,
,,,,,,,,,,
10/22/2020,119.5,121.9,118.8,121.5,,260,31396.4,,,
,,,,,,,,,,
10/21/2020,121.8,121.9,119.9,120.6,,2148,258027.5,,,
,,,,,,,,,,
10/20/2020,122.1,123.2,121.8,123.2,,55,6706,,,
,,,,,,,,,,
10/19/2020,121.6,123.7,121.6,122.8,,264,32417.3,,,
,,,,,,,,,,
10/16/2020,118.6,122.4,118.6,121.4,,320,39037.3,,,
,,,,,,,,,,
10/15/2020,121,121.2,118.5,118.7,,853,102179.6,,,
,,,,,,,,,,
10/14/2020,118.6,122.1,118.6,122.1,,507,61486.3,,,
,,,,,,,,,,
10/13/2020,120.3,120.9,117.8,118.7,,351,41428.7,,,
,,,,,,,,,,
10/12/2020,115.8,120.6,115.8,120.5,,331,39564.3,,,
,,,,,,,,,,
10/9/2020,114,116.2,113.9,116.2,,1298,149551.9,,,
,,,,,,,,,,
10/8/2020,112.1,114.5,112.1,114.5,,392,44587.1,,,
,,,,,,,,,,
10/7/2020,112,112.7,111.3,112.7,,202,22687.6,,,
,,,,,,,,,,
10/6/2020,110.4,111.8,110.4,111.8,,450,50030,,,
,,,,,,,,,,
10/5/2020,109.3,110.9,109.3,110.9,,64,7068.6,,,
,,,,,,,,,,
10/2/2020,108,109.6,108,109.6,,177,19153.5,,,
,,,,,,,,,,
10/1/2020,108.1,109.5,108.1,109.5,,70,7650,,,
,,,,,,,,,,
9/30/2020,108.6,108.6,106.8,106.8,,271,29094.6,,,
,,,,,,,,,,
9/29/2020,106.9,109.4,106.9,109.4,,76,8253.9,,,
,,,,,,,,,,
9/28/2020,105,107.3,105,107.1,,472,50326.6,,,
,,,,,,,,,,
9/25/2020,103.2,104.4,103,103.7,,763,78994.1,,,
,,,,,,,,,,
9/24/2020,100.5,103.8,100.5,103.8,,152,15708,,,
,,,,,,,,,,
9/23/2020,101,101.7,100.6,101.7,,368,37374.3,,,
,,,,,,,,,,
9/22/2020,98.5,100,98.5,100,,190,18865,,,
,,,,,,,,,,
9/21/2020,101.7,101.7,98.2,98.2,,300,30299,,,
,,,,,,,,,,
9/18/2020,100.1,101.2,100.1,101.2,,209,21100.8,,,
,,,,,,,,,,
9/17/2020,96.1,102,96,102,,433,42836.5,,,
,,,,,,,,,,
9/16/2020,93.1,95.95,93.1,95.95,,45,4241.25,,,
,,,,,,,,,,
9/15/2020,92.5,92.5,92.15,92.4,,167,15414.45,,,
,,,,,,,,,,
9/14/2020,93.1,93.1,93,93,,25,2326,,,
,,,,,,,,,,
9/11/2020,93.85,93.85,92.5,92.5,,70,6475,,,
,,,,,,,,,,
9/10/2020,95.6,95.6,94.55,94.55,,110,10495.5,,,
,,,,,,,,,,
9/9/2020,94.75,95.85,94.4,95.85,,411,38950.25,,,
,,,,,,,,,,
9/8/2020,96.3,96.3,93.3,94.75,,165,15516.5,,,
,,,,,,,,,,
9/7/2020,93.5,95.95,93.5,95.95,,160,15074.5,,,
,,,,,,,,,,
9/4/2020,94.5,94.5,93.15,93.15,,350,32790.25,,,
,,,,,,,,,,
9/3/2020,99.1,99.1,94.8,95,,382,36699.7,,,
,,,,,,,,,,
9/2/2020,94.75,99.05,94.75,98.75,,582,56936.55,,,
,,,,,,,,,,
9/1/2020,94.6,95,94.55,94.55,,385,36427.5,,,
,,,,,,,,,,
8/31/2020,94.75,94.75,94.35,94.35,,175,16541.25,,,
,,,,,,,,,,
8/28/2020,95,95.5,93.8,95.3,,98882,9370950.35,,,
,,,,,,,,,,
8/27/2020,95.7,96,94.5,94.8,,142753,13576918.75,,,
,,,,,,,,,,
8/26/2020,94.25,95.5,94.05,95.4,,82485,7827754.45,,,
,,,,,,,,,,
8/25/2020,93.85,94.75,93.45,94.5,,89082,8397454.8,,,
,,,,,,,,,,
8/24/2020,92.3,94.5,92.3,93.5,,119117,11168837.75,,,
,,,,,,,,,,
8/21/2020,92.15,92.2,90.65,91.9,,65210,5976477.15,,,
,,,,,,,,,,
8/20/2020,91,92.4,90.45,92.15,,95493,8763119.9,,,
,,,,,,,,,,
8/19/2020,91,92.2,90,91.65,,88102,8063097.4,,,
,,,,,,,,,,
8/18/2020,91.55,92,90.4,91,,85470,7789882.4,,,
,,,,,,,,,,
8/17/2020,91.6,91.95,90.55,91.9,,58566,5357104.3,,,
,,,,,,,,,,
8/14/2020,92.9,93.25,91.35,91.85,,78700,7257628.1,,,
,,,,,,,,,,
8/13/2020,92.2,93,91.1,92.85,,98209,9080452.6,,,
,,,,,,,,,,
8/12/2020,90.8,92.95,88.3,92.65,,182444,16598657.95,,,
,,,,,,,,,,
8/11/2020,94.9,95.4,90.35,90.75,,168948,15524389.1,,,
,,,,,,,,,,
8/10/2020,94,96,93.75,94.55,,183320,17388579.4,,,
,,,,,,,,,,
8/7/2020,90.2,93.15,89.8,92.95,,109450,10126152.1,,,
,,,,,,,,,,
8/6/2020,91.45,92,90.35,91.1,,140089,12778666.3,,,
,,,,,,,,,,
8/5/2020,89.85,91.85,88.75,91.85,,147638,13413298.3,,,
,,,,,,,,,,
8/4/2020,90.5,91.1,88.25,89.05,,110318,9813561,,,
,,,,,,,,,,
8/3/2020,89,90.5,88.2,90,,95661,8591521.9,,,
,,,,,,,,,,
7/31/2020,89.4,90.95,88.5,88.65,,145927,13058046.1,,,
,,,,,,,,,,
7/30/2020,91.7,91.75,88.1,89.6,,182764,16464224.8,,,
,,,,,,,,,,
7/29/2020,88.55,92.25,88.2,92.25,,169549,15522318.75,,,
,,,,,,,,,,
7/28/2020,89.5,89.75,88.35,88.85,,116461,10345922.4,,,
,,,,,,,,,,
7/27/2020,88,89.55,87.35,89.15,,102146,9082131.05,,,
,,,,,,,,,,
7/24/2020,90.5,90.5,87.85,87.9,,177031,15683394.95,,,
,,,,,,,,,,
7/23/2020,88.4,91.55,88.15,91.55,,146866,13280553.85,,,
,,,,,,,,,,
7/22/2020,88.6,89.1,87.4,88.75,,101234,8954258.2,,,
,,,,,,,,,,
7/21/2020,89.55,89.95,87.75,88.5,,195028,17331900.8,,,
,,,,,,,,,,
7/20/2020,88.25,89.5,87.55,88.95,,227635,20134893.65,,,
,,,,,,,,,,
7/17/2020,89.15,90.5,88,88.4,,163078,14464839.25,,,
,,,,,,,,,,
7/16/2020,90.65,90.65,87.9,88.95,,197755,17652520.05,,,
,,,,,,,,,,
7/15/2020,90,91.7,86.3,91.7,,258220,23077220.7,,,
,,,,,,,,,,
7/14/2020,90.1,90.15,88.1,89.2,,183507,16350975.75,,,
,,,,,,,,,,
7/13/2020,90.45,91.15,88.6,91.05,,87454,7915927,,,
,,,,,,,,,,
7/10/2020,89.25,91.55,88.9,89.9,,93540,8453243.25,,,
,,,,,,,,,,
7/9/2020,91.15,91.35,89.45,89.55,,181776,16405326.65,,,
,,,,,,,,,,
7/8/2020,92,92.55,90.15,90.3,,153582,13970079.05,,,
,,,,,,,,,,
7/7/2020,92.95,93.65,91.15,92.5,,153153,14109118.8,,,
,,,,,,,,,,
7/6/2020,93.8,93.9,92.8,93.8,,98508,9199714.85,,,
,,,,,,,,,,
7/3/2020,93.1,93.85,91.9,92.35,,114471,10617857.55,,,
,,,,,,,,,,
7/2/2020,89.75,93.8,88.8,92.85,,365676,33662061.9,,,
,,,,,,,,,,
7/1/2020,86.2,89.25,86,89.25,,106604,9438618.8,,,
,,,,,,,,,,
6/30/2020,87,87.15,85,86.8,,138372,11944211.15,,,
,,,,,,,,,,
6/29/2020,88,88.85,86.5,87.05,,76589,6688133.9,,,
,,,,,,,,,,
6/26/2020,88.2,89.4,86.65,88.05,,123809,10922723.5,,,
,,,,,,,,,,
6/25/2020,86.25,88.25,84.8,87.8,,118166,10302946.05,,,
,,,,,,,,,,
6/24/2020,90.05,90.25,86.2,86.2,,115847,10143798.5,,,
,,,,,,,,,,
6/23/2020,89.2,91,88.6,89.95,,112453,10108636.8,,,
,,,,,,,,,,
6/22/2020,90.35,90.7,87.85,88.55,,116991,10394476.9,,,
,,,,,,,,,,
6/19/2020,90.55,91.8,90,91.25,,174766,15936379.65,,,
,,,,,,,,,,
6/18/2020,91.6,91.85,89.6,90.05,,98019,8859710.65,,,
,,,,,,,,,,
6/17/2020,90.55,92.15,89.7,91.45,,149331,13655800.2,,,
,,,,,,,,,,
6/16/2020,88.35,90.75,87.45,90.65,,206243,18478591.35,,,
,,,,,,,,,,
6/15/2020,85,86.9,84.75,86.35,,181008,15502164.95,,,
,,,,,,,,,,
6/12/2020,85.65,87.9,84.85,86.4,,137604,11931180.75,,,
,,,,,,,,,,
6/11/2020,87,87.65,85.55,86.3,,127406,11026683.1,,,
,,,,,,,,,,
6/10/2020,89.25,90.1,87,87.8,,192426,16965135.2,,,
,,,,,,,,,,
6/9/2020,91.65,93.25,89.2,89.35,,209173,18983014.7,,,
,,,,,,,,,,
6/8/2020,92.65,92.65,89.8,91.7,,172403,15698539.85,,,
,,,,,,,,,,
6/5/2020,91.6,93.3,90.65,93.15,,185077,17116028.75,,,
,,,,,,,,,,
6/4/2020,92.3,92.8,89.65,91.4,,238456,21679333.75,,,
,,,,,,,,,,
6/3/2020,91.15,93.3,89.65,92.9,,144255,13282471.95,,,
,,,,,,,,,,
6/2/2020,93.3,93.5,89.5,91,,165446,15036505.55,,,
,,,,,,,,,,
5/29/2020,91.05,93.1,90.25,92.1,,238162,21887648.1,,,
,,,,,,,,,,
5/28/2020,88.1,91.7,87.4,91.45,,228651,14809122.8,,,
,,,,,,,,,,
5/27/2020,91,91.2,86.4,87.3,,292506,25754496.6,,,
,,,,,,,,,,
5/26/2020,91.1,93.35,89.7,90.85,,295589,27089139.05,,,
,,,,,,,,,,
5/25/2020,88.6,92.7,88.1,92.6,,101335,9240143.65,,,
,,,,,,,,,,
5/22/2020,87.35,88.5,85.45,87.65,,170878,14839809.55,,,
,,,,,,,,,,
5/21/2020,90.95,90.95,87.8,87.9,,103051,9147975.45,,,
,,,,,,,,,,
5/20/2020,92.5,93.3,91.3,91.8,,169820,15657134.85,,,
,,,,,,,,,,
5/19/2020,90.45,92.8,89.8,92.5,,215504,19826326.1,,,
,,,,,,,,,,
5/18/2020,85.45,89.95,84.9,89.65,,202085,17790850.8,,,
,,,,,,,,,,
5/15/2020,82.25,84.85,80.65,83.8,,219726,18211281.9,,,
,,,,,,,,,,
5/14/2020,84.7,85.3,81.15,81.35,,227178,18722697.45,,,
,,,,,,,,,,
5/13/2020,85.5,87.9,83.8,85.75,,229089,19608050.05,,,
,,,,,,,,,,
5/12/2020,91.55,91.55,86,86,,332344,29093515.5,,,
,,,,,,,,,,
5/11/2020,97,97.7,90.75,91.8,,202683,18762257.75,,,
,,,,,,,,,,
5/8/2020,96.35,97.35,95.15,95.3,,134071,12869764.45,,,
,,,,,,,,,,
5/7/2020,94.55,97.25,94.25,96,,210096,20200879.55,,,
,,,,,,,,,,
5/6/2020,92.8,94.7,91.45,93.95,,129479,12095616.85,,,
,,,,,,,,,,
5/5/2020,88.9,92.6,88.25,92.6,,131163,12019019.15,,,
,,,,,,,,,,
5/4/2020,87.65,88.1,85.95,87.65,,168947,14745103.15,,,
,,,,,,,,,,
4/30/2020,91.6,92.1,89.9,89.95,,137448,12454130.55,,,
,,,,,,,,,,
4/29/2020,90,91,87.85,90.95,,143888,12901979.9,,,
,,,,,,,,,,
4/28/2020,92,92.2,89.15,89.65,,163949,14804941.85,,,
,,,,,,,,,,
4/27/2020,95.05,95.35,92.1,92.1,,109266,10128133.7,,,
,,,,,,,,,,
4/24/2020,94.4,94.6,92.35,93.1,,111240,10358166.75,,,
,,,,,,,,,,
4/23/2020,94.75,95.5,92.7,94.8,,123862,11684265.45,,,
,,,,,,,,,,
4/22/2020,92.75,94.65,91.6,94.65,,126830,11898048.5,,,
,,,,,,,,,,
4/21/2020,93.4,93.95,91.5,91.5,,115152,10603440.3,,,
,,,,,,,,,,
4/20/2020,94,94.65,91.9,94.15,,124634,11640880.35,,,
,,,,,,,,,,
4/17/2020,93.4,94.05,91.85,92.9,,185554,17165035.1,,,
,,,,,,,,,,
4/16/2020,91.9,92.75,90.7,91.45,,162831,14907520.55,,,
,,,,,,,,,,
4/15/2020,94,94.6,90.15,90.95,,204001,18647943.8,,,
,,,,,,,,,,
4/14/2020,97.5,98,93.35,94.05,,147594,13964369.1,,,
,,,,,,,,,,
4/9/2020,93.1,95.4,92.05,95.4,,161578,15199731.2,,,
,,,,,,,,,,
4/8/2020,90.2,92.25,89.8,92.2,,152911,14008042.75,,,
,,,,,,,,,,
4/7/2020,92,92.55,88.9,89.5,,218796,19809733.65,,,
,,,,,,,,,,
4/6/2020,86.35,89.65,86.25,89.65,,165074,14584495.75,,,
,,,,,,,,,,
4/3/2020,83.1,85.45,82.5,84,,184124,15495174.4,,,
,,,,,,,,,,
4/2/2020,86,87.15,79.5,82.5,,300359,24916457.15,,,
,,,,,,,,,,
4/1/2020,86.5,86.9,85,86.1,,192187,16541381.35,,,
,,,,,,,,,,
3/31/2020,92,92.65,88.15,88.35,,311491,27892906.55,,,
,,,,,,,,,,
3/30/2020,85.4,88.9,83.1,88.9,,167955,14624880.3,,,
,,,,,,,,,,
3/27/2020,89,90.85,83.5,83.95,,231618,19986099.3,,,
,,,,,,,,,,
3/26/2020,81.5,91.05,81.5,91.05,,274322,23971500.55,,,
,,,,,,,,,,
3/25/2020,82.5,90.4,80.6,83.1,,284087,23870691.15,,,
,,,,,,,,,,
3/24/2020,79.2,79.45,76.6,79.45,,256310,20107995.1,,,
,,,,,,,,,,
3/23/2020,74.5,77.05,72.9,75,,187013,14032458.1,,,
,,,,,,,,,,
3/20/2020,76.65,82.35,75.7,78.25,,446534,34997042.95,,,
,,,,,,,,,,
3/19/2020,69.15,74.7,67.7,73.45,,272648,19466640.1,,,
,,,,,,,,,,
3/18/2020,74.5,75.25,69.55,69.7,,341817,24444114.6,,,
,,,,,,,,,,
3/17/2020,79,80.1,73.5,75.1,,265313,20046246.2,,,
,,,,,,,,,,
3/16/2020,75,76.9,71.45,76.15,,422533,31664759.85,,,
,,,,,,,,,,
3/13/2020,77.75,84.05,76.85,78.85,,457906,36529317.4,,,
,,,,,,,,,,
3/12/2020,77.75,81.65,75.8,76.45,,428846,33545984.85,,,
,,,,,,,,,,
3/11/2020,87.6,88.45,83.85,84.3,,250339,21276696.5,,,
,,,,,,,,,,
3/10/2020,88.25,90.3,86,86.8,,324702,28663267.75,,,
,,,,,,,,,,
3/9/2020,87.65,92.15,85.1,87.2,,392049,34832184.95,,,
,,,,,,,,,,
3/6/2020,95,95.1,91.9,94.15,,211996,19868077.2,,,
,,,,,,,,,,
3/5/2020,101.3,102.6,96.35,97.2,,230406,22585334.7,,,
,,,,,,,,,,
3/4/2020,98.3,100.5,97.55,100.1,,251085,24993655.35,,,
,,,,,,,,,,
3/3/2020,97.1,99.9,95.55,98.05,,435677,42953287,,,
,,,,,,,,,,
3/2/2020,96.5,98.3,93.55,95.05,,285867,27318381.65,,,
,,,,,,,,,,
2/28/2020,90.05,94.75,89.65,94.75,,468539,43691138.55,,,
,,,,,,,,,,
2/27/2020,97.95,98.3,93.75,95.05,,253380,24293170.5,,,
,,,,,,,,,,
2/26/2020,98.5,100.8,96.35,100.2,,371150,36784605.3,,,
,,,,,,,,,,
2/25/2020,105.6,106.4,100.6,101.2,,250020,25613306.6,,,
,,,,,,,,,,
2/24/2020,104,105.5,102.2,104.7,,211543,22050204.4,,,
,,,,,,,,,,
2/21/2020,110.1,110.2,107.7,108.2,,119055,12948891,,,
,,,,,,,,,,
2/20/2020,111.3,112.8,109.9,110.4,,139229,15421757,,,
,,,,,,,,,,
2/19/2020,110.3,112.4,109.5,111.2,,138008,15341487,,,
,,,,,,,,,,
2/18/2020,107.2,109.8,107,109.6,,111209,12136682,,,
,,,,,,,,,,
2/17/2020,108.9,109.1,107.6,108.8,,71884,7784747.5,,,
,,,,,,,,,,
2/14/2020,109.2,110.1,108.2,108.9,,127710,13932329,,,
,,,,,,,,,,
2/13/2020,110,111,107.6,109.5,,175311,19094774,,,
,,,,,,,,,,
2/12/2020,112.4,112.4,109.7,110,,153713,16973868,,,
,,,,,,,,,,
2/11/2020,110.1,113.6,109.3,112.2,,266600,29766104,,,
,,,,,,,,,,
2/10/2020,114,121.1,107,109.4,,449853,50064696,,,
,,,,,,,,,,
2/7/2020,116.4,117.4,114.1,114.9,,158446,18250740,,,
,,,,,,,,,,
2/6/2020,117,117.2,114.7,116.4,,98097,11377620,,,
,,,,,,,,,,
2/5/2020,116.4,117,115.8,116.1,,141363,16440834,,,
,,,,,,,,,,
2/4/2020,112.1,115.7,111.7,115,,214584,24603160,,,
,,,,,,,,,,
2/3/2020,110,112,109.3,111.4,,231387,25691706,,,
,,,,,,,,,,
